age,gender,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,O1,O2,O3,O4,O5,O6,O7,O8,O9,O10
19,Male,2,4,3,4,3,4,3,3,4,5,1,5,1,5,4,1,1,2,1,1,4,3,1,4,2,5,2,3,4,4,3,2,5,1,2,3,4,2,2,2,4,2,3,3,5,3,4,4,4,3
22,Female,2,1,5,4,5,1,5,2,2,1,1,3,3,4,2,2,2,2,2,2,1,5,1,5,1,5,1,5,5,4,4,1,4,2,5,4,4,1,4,4,4,2,5,1,4,1,4,4,5,4
21,Female,3,3,3,3,3,3,4,2,5,3,2,3,3,3,4,3,4,3,4,2,2,5,2,4,3,4,2,4,5,4,2,5,3,5,3,5,3,5,3,3,2,2,5,2,5,2,4,2,4,4
21,Female,3,4,4,2,4,2,4,4,3,3,2,3,3,3,4,5,3,3,3,3,3,3,2,4,3,4,3,4,4,5,4,3,4,2,1,1,4,1,5,4,3,2,3,2,3,3,4,3,2,3
18,Female,4,2,4,2,3,2,3,3,5,2,2,4,3,4,1,2,2,1,2,1,3,3,4,2,5,1,4,1,1,4,2,4,4,1,2,4,3,3,4,4,4,1,5,2,4,2,5,3,4,5
25,Male,3,4,4,4,4,2,2,3,2,4,1,4,3,5,2,1,1,1,1,1,5,5,2,4,1,4,1,5,3,4,2,4,4,3,3,4,3,3,2,3,3,2,4,1,3,1,4,2,4,3
38,Female,1,3,3,5,4,4,2,4,2,4,5,5,4,1,4,5,4,3,5,5,1,2,3,4,3,5,2,3,5,4,1,4,4,4,2,5,4,2,5,5,1,1,5,1,5,1,5,1,5,5
20,Female,5,1,5,1,5,1,5,1,5,1,2,4,1,1,1,1,1,1,1,1,3,5,1,4,2,1,1,2,2,4,3,4,4,4,2,5,1,2,1,1,3,1,5,1,5,1,5,1,1,5
38,Male,2,5,2,4,3,5,3,5,2,4,2,3,2,3,2,3,3,3,3,3,5,3,3,1,4,2,5,3,2,2,5,2,5,1,3,1,5,1,5,5,5,1,5,3,5,1,5,4,3,5
23,Male,2,4,3,4,3,2,3,3,4,4,1,4,2,4,2,2,3,2,2,2,1,5,1,5,1,4,2,4,4,3,4,3,4,2,2,3,4,2,3,5,4,1,4,1,4,2,5,4,4,3
65,Male,2,4,2,4,2,3,2,4,2,4,4,3,4,3,3,3,4,4,4,2,2,3,2,4,2,4,3,3,4,4,4,2,2,2,4,2,4,2,4,4,4,2,4,2,4,2,4,3,3,4
13,Male,4,2,5,2,4,2,4,2,4,4,3,2,5,2,3,4,4,3,3,4,1,5,4,4,1,4,1,5,5,3,4,3,4,4,2,2,3,4,4,4,2,4,3,1,3,2,3,2,5,3
14,Male,2,5,3,4,3,1,3,4,3,5,2,4,2,3,2,1,1,1,3,3,4,1,1,3,3,1,5,2,3,5,5,3,5,2,4,4,3,1,2,5,5,1,5,1,5,1,5,5,5,5
40,Female,4,2,3,3,5,1,5,4,2,2,3,2,4,2,2,3,4,3,3,4,1,5,2,5,1,3,1,2,5,4,2,3,5,2,2,1,5,3,3,3,1,2,4,4,4,1,3,1,5,5
14,Female,5,1,5,1,5,1,5,4,5,4,1,3,2,4,4,5,4,4,4,1,2,4,5,1,5,3,1,3,1,5,1,5,2,4,1,1,3,5,1,3,5,1,5,2,5,1,4,4,4,5
40,Female,1,3,3,2,4,3,3,3,3,3,2,3,4,2,1,2,5,3,4,3,2,4,2,4,3,3,3,3,4,5,2,5,5,4,1,5,4,4,2,3,5,1,5,1,5,1,5,5,5,5
25,Female,2,2,3,2,4,2,2,2,4,4,3,3,2,3,2,4,2,2,3,2,2,3,1,3,2,3,2,3,3,3,4,2,2,1,3,3,3,1,2,4,4,1,3,2,5,2,5,4,5,4
24,Male,3,3,4,2,4,2,4,3,3,2,2,4,4,3,4,2,2,2,2,3,4,4,2,4,2,3,2,3,4,4,3,4,4,2,2,4,4,2,4,4,4,4,2,4,3,4,4,3,4,2
25,Female,1,3,5,3,3,2,3,5,1,4,1,5,2,5,5,1,1,1,1,1,1,5,1,5,1,4,1,5,4,5,2,3,3,2,2,3,3,4,3,3,3,2,4,2,3,2,5,2,5,3
16,Male,4,2,4,4,4,2,4,4,4,4,2,4,4,4,2,1,2,1,4,1,1,4,2,5,2,4,1,4,4,4,2,2,5,4,2,4,4,2,4,4,5,1,5,2,4,1,4,5,4,5
18,Male,3,2,3,5,4,3,3,3,3,5,4,3,4,3,3,5,3,3,4,3,3,4,3,4,3,5,2,3,3,3,3,1,4,3,2,4,2,3,3,3,3,3,5,3,4,1,3,2,3,4
23,Female,1,2,2,4,2,3,2,5,1,5,5,2,5,1,5,5,5,5,5,5,1,4,3,4,1,4,2,5,5,4,2,4,3,5,1,2,1,1,2,2,4,3,5,1,5,1,2,4,5,5
21,Female,4,3,4,3,4,3,4,4,4,3,3,4,4,5,4,3,4,2,2,2,5,5,3,5,1,5,1,5,5,4,3,3,3,3,3,4,4,3,3,2,3,5,4,2,3,2,4,3,5,3
26,Female,2,1,5,1,5,1,5,2,4,1,5,1,5,2,5,5,5,5,5,4,1,5,1,5,1,4,1,5,5,4,2,3,2,3,2,4,2,3,3,3,5,3,5,3,5,1,4,5,5,5
26,Male,4,2,4,4,4,2,5,4,4,2,2,4,2,3,2,2,2,2,2,2,1,5,1,4,2,4,2,4,2,4,2,4,4,3,2,4,4,2,3,2,2,2,5,2,5,2,4,2,5,5
19,Male,1,4,2,4,3,2,2,3,4,5,5,5,5,3,2,2,5,4,4,3,4,2,1,4,2,3,4,2,5,5,4,3,3,4,3,2,4,2,5,4,5,1,5,1,5,1,5,5,5,5
15,Female,1,5,1,5,1,1,1,5,1,5,5,1,5,1,5,5,5,5,4,5,1,5,1,5,1,5,1,5,5,2,4,2,4,2,2,2,5,2,4,4,4,2,5,1,2,1,3,4,5,5
35,Male,2,4,1,4,1,4,1,5,1,5,1,5,1,5,4,1,3,3,4,1,3,1,3,2,3,1,4,2,1,3,4,3,4,3,2,3,3,4,2,4,5,1,5,1,5,1,5,5,5,5
19,Male,1,2,3,2,5,2,1,4,2,4,4,2,5,3,4,3,4,3,3,3,2,4,2,4,2,3,3,5,4,3,4,3,5,3,4,3,5,1,5,4,4,1,3,2,4,2,4,3,4,4
36,Female,4,1,4,2,5,1,4,5,4,2,4,2,5,2,4,4,4,4,4,4,1,5,2,5,1,5,1,5,4,4,5,1,5,2,3,2,5,3,5,4,4,2,2,4,3,4,5,4,4,2
16,Female,2,2,2,2,2,3,3,2,2,5,4,3,3,3,3,4,3,3,4,3,3,3,2,3,2,4,3,2,2,3,3,3,3,3,1,4,3,3,1,3,3,2,3,2,2,3,3,2,3,3
15,Female,2,4,3,3,3,4,3,4,2,4,4,5,5,3,4,4,5,5,4,3,1,4,4,4,2,4,1,4,5,4,3,3,5,3,3,4,3,2,4,4,2,3,5,2,3,4,2,3,4,3
65,Male,3,2,5,3,3,2,2,3,3,3,4,4,4,2,3,3,3,4,4,4,1,5,1,5,1,3,2,5,4,3,5,2,5,3,2,4,5,2,5,5,5,1,3,1,3,3,5,5,5,4
20,Female,2,2,2,4,3,2,2,1,2,3,4,3,5,1,4,3,5,4,5,4,1,5,4,5,2,5,2,5,5,4,3,2,5,3,2,2,4,3,2,4,3,3,4,3,3,2,4,2,5,3
18,Female,5,1,5,3,5,2,1,4,4,5,3,3,5,1,5,3,4,3,5,3,3,3,5,2,1,2,3,5,3,5,5,1,5,1,4,1,3,3,5,5,4,2,5,1,5,5,5,4,5,5
16,Male,5,1,5,2,5,2,5,2,5,2,2,5,1,5,1,1,1,1,1,1,1,4,2,4,1,4,1,4,4,4,3,4,4,2,3,3,4,3,3,4,5,2,5,2,4,1,5,4,2,5
28,Female,3,3,2,3,4,2,3,3,3,3,3,2,3,2,4,3,4,3,3,4,5,5,1,5,1,5,1,4,5,3,3,3,5,3,2,4,2,3,3,3,4,1,5,1,3,1,5,4,4,5
13,Female,4,1,4,2,5,1,5,3,5,2,5,3,5,3,2,4,4,4,2,2,1,5,2,5,1,5,1,5,5,3,5,3,4,3,2,4,4,2,3,4,2,2,4,3,4,2,5,2,4,4
59,Male,1,5,3,5,2,3,1,5,3,5,3,5,4,5,3,1,2,1,2,1,1,4,1,4,2,5,2,4,4,2,4,1,5,1,4,1,5,1,4,5,5,1,5,1,5,1,5,3,4,4
24,Male,1,5,4,5,2,4,1,4,2,5,5,5,5,2,3,4,4,5,3,3,1,5,1,5,1,5,1,3,5,2,4,4,5,3,1,1,5,1,5,4,1,1,5,1,5,1,5,1,5,5
42,Female,1,3,2,1,3,4,1,5,1,4,2,3,2,2,1,1,1,1,2,4,1,3,1,3,3,1,4,3,1,3,5,2,5,1,3,2,5,1,4,4,5,1,4,1,5,1,5,5,5,4
41,Female,4,1,5,2,5,1,4,4,4,4,4,4,5,5,3,1,1,1,2,1,1,5,1,5,1,5,1,5,5,5,5,1,5,1,5,2,5,1,5,5,4,4,5,1,2,3,4,1,5,3
19,Male,4,1,4,2,5,1,5,2,5,2,5,3,4,3,5,5,5,5,5,5,5,2,2,2,5,3,4,2,1,2,5,5,4,5,1,5,2,2,1,5,5,1,5,1,5,1,5,5,5,5
23,Female,4,3,4,3,5,4,2,2,4,2,5,1,5,5,5,5,5,5,5,5,5,5,4,5,1,5,1,4,5,5,3,4,4,5,1,3,3,3,2,5,4,2,5,2,4,1,3,4,5,5
21,Female,4,1,5,2,5,1,3,3,5,2,3,4,2,5,3,2,2,5,5,1,1,5,5,5,5,4,2,4,5,5,3,1,1,5,2,5,5,1,5,3,3,3,5,3,3,1,5,4,5,4
18,Male,2,2,5,2,4,2,4,5,1,2,2,3,4,4,4,2,1,2,3,2,1,4,1,4,2,3,2,2,1,3,3,3,4,3,1,3,3,4,3,3,4,3,3,4,3,4,4,3,3,2
40,Male,4,2,3,2,4,1,4,2,5,2,2,2,2,4,2,3,2,2,2,2,3,3,3,3,3,2,3,3,2,3,3,3,4,3,4,5,2,3,3,4,5,1,5,1,5,1,5,3,4,5
48,Female,5,1,5,3,5,1,5,3,3,1,3,4,1,5,1,1,1,1,1,1,5,5,1,5,1,5,1,5,5,5,5,5,5,1,5,3,4,1,5,5,5,5,5,1,4,1,2,3,5,5
26,Female,3,2,2,3,2,4,4,4,2,5,1,4,4,2,4,1,4,3,4,4,2,3,1,3,4,3,3,3,4,3,5,2,4,2,1,1,2,3,3,4,4,1,4,1,4,1,3,3,5,5
19,Female,4,1,4,1,5,1,5,1,5,1,2,3,5,1,5,1,1,1,4,1,1,4,4,4,2,4,1,4,4,4,3,5,5,4,4,3,4,1,1,3,4,2,5,1,5,1,4,4,4,5
25,Male,4,5,2,4,2,4,2,4,2,4,2,2,3,2,2,2,2,3,2,2,4,2,4,2,4,3,4,2,3,4,4,2,5,3,4,2,4,4,2,4,4,1,5,1,4,1,5,4,4,5
20,Female,3,2,4,2,5,2,5,2,4,2,2,4,4,2,2,3,4,3,2,2,2,4,1,4,2,4,2,4,4,4,3,4,4,2,3,4,3,3,4,3,4,2,4,2,3,2,4,4,4,4
66,Female,2,4,2,4,2,4,2,5,2,5,2,4,4,4,4,2,2,2,2,2,5,4,1,5,2,4,2,4,5,4,4,4,4,2,2,4,4,2,2,2,2,4,5,4,4,2,4,2,4,5
35,Female,4,3,4,2,3,2,2,3,5,3,2,2,4,2,2,1,1,1,2,1,2,3,1,5,3,4,2,4,4,4,5,2,5,2,4,1,5,1,5,5,4,2,4,2,4,1,5,3,5,5
16,Female,1,3,2,4,4,1,1,4,4,5,4,3,5,2,2,4,4,2,4,4,1,5,1,5,1,4,1,5,5,4,3,4,5,5,1,4,1,3,2,3,3,1,5,1,4,1,2,1,5,5
39,Male,4,1,3,4,4,2,4,4,2,4,2,3,4,3,2,3,3,2,3,3,2,4,1,2,2,4,2,3,2,5,4,4,4,1,4,3,4,1,4,4,5,3,3,3,4,2,4,2,5,4
23,Female,1,4,1,5,2,2,1,1,1,1,5,1,5,1,5,5,5,5,3,5,1,5,1,5,1,5,1,5,5,1,2,4,5,3,2,1,3,1,1,2,3,1,4,1,3,1,3,3,5,4
18,Male,1,1,4,2,3,3,5,4,3,1,2,5,2,4,4,1,3,2,3,1,3,2,2,1,5,3,3,3,2,3,3,4,4,4,3,3,2,3,1,3,1,3,5,4,5,1,5,1,3,5
51,Male,4,2,4,2,4,2,3,2,4,3,2,4,3,4,1,2,1,1,2,1,2,3,2,3,2,4,3,3,3,4,3,2,4,1,4,2,4,1,4,4,4,4,3,4,3,4,5,4,2,3
25,Male,3,5,3,3,2,3,3,5,3,2,4,4,4,3,4,4,5,4,4,3,4,2,2,2,3,3,3,3,2,3,2,4,4,3,4,4,4,4,1,3,4,1,5,1,3,1,3,2,5,4
26,Male,4,1,5,2,5,1,5,2,5,2,5,3,5,2,2,4,4,4,3,4,1,5,5,4,2,2,2,5,4,4,4,4,5,3,2,5,4,1,4,3,4,3,5,4,5,1,2,2,5,4
57,Male,1,4,2,3,3,2,2,2,4,4,4,2,4,4,4,4,2,2,3,2,4,5,4,3,4,2,2,1,3,2,5,4,5,2,2,2,4,2,3,5,5,1,3,2,3,2,2,4,5,4
19,Female,2,3,2,2,2,3,2,4,1,5,5,2,5,4,5,4,5,5,5,5,3,2,4,4,3,3,3,4,2,3,1,4,3,5,2,4,2,3,3,2,2,4,3,4,3,3,2,1,4,1
19,Female,2,1,4,4,1,1,4,5,3,5,2,4,1,4,2,3,2,2,3,1,1,4,2,5,1,5,2,4,4,3,3,1,5,2,2,1,5,1,4,4,4,1,5,1,5,1,5,3,4,5
21,Female,3,3,4,2,2,3,2,4,5,2,4,3,4,2,3,4,3,2,3,3,2,3,3,3,3,5,3,4,4,2,3,2,3,3,4,2,3,4,2,4,2,3,4,3,4,1,3,2,3,4
18,Male,3,3,3,4,2,2,2,2,4,5,2,4,5,2,3,3,4,3,2,4,2,4,3,4,2,4,2,3,4,2,3,5,4,4,1,4,3,4,3,3,3,2,5,1,3,1,4,3,5,4
15,Male,2,4,3,3,2,4,1,4,2,5,3,5,1,3,4,3,5,5,4,3,2,5,2,4,2,5,2,5,5,5,5,5,2,3,1,5,1,3,1,3,5,1,5,1,5,1,4,5,4,5
40,Female,3,2,4,2,5,2,5,4,1,2,2,3,2,4,1,1,2,2,2,2,1,5,1,5,2,4,1,4,4,4,3,4,4,2,3,2,4,1,4,4,5,4,4,3,3,2,4,3,4,4
22,Female,4,1,5,5,5,1,5,5,4,5,4,1,4,1,1,3,4,4,3,1,1,5,1,5,1,5,1,5,5,5,5,1,5,1,5,1,5,1,5,5,4,1,1,1,5,1,5,1,3,4
31,Female,3,1,5,2,4,2,4,3,3,1,3,3,3,4,3,4,2,1,1,1,5,4,1,4,5,3,1,4,4,5,4,1,3,1,3,4,3,1,4,5,4,1,4,3,4,1,4,3,4,5
22,Female,4,2,4,4,4,2,4,4,2,4,4,4,3,3,4,3,2,2,3,2,2,5,2,4,2,4,2,4,4,4,4,4,5,2,5,3,4,3,4,5,3,2,3,2,4,3,4,2,4,4
22,Female,2,2,2,2,4,2,4,3,3,2,5,2,4,2,2,4,4,2,3,3,1,4,3,3,2,5,2,3,4,3,4,4,3,2,3,3,4,2,5,4,2,1,3,1,3,4,4,1,5,3
32,Male,2,4,2,4,2,4,2,4,4,5,1,4,4,3,2,2,4,3,2,3,4,4,4,4,2,4,3,4,4,4,3,3,4,3,3,3,1,3,2,4,4,3,4,3,4,1,4,3,3,4
18,Female,3,1,4,2,5,1,3,2,4,3,5,2,5,2,2,4,5,5,5,2,2,4,2,4,1,4,2,4,3,4,5,2,5,2,5,2,5,1,5,5,5,2,4,2,5,1,5,5,4,4
37,Female,2,3,3,3,4,2,2,5,1,4,4,3,4,1,2,4,3,2,2,4,1,5,1,5,2,4,1,2,5,4,3,5,5,5,2,5,3,1,2,4,5,1,5,1,4,1,3,5,5,5
18,Female,2,4,2,4,4,3,3,5,2,4,5,1,5,2,4,5,4,3,4,4,1,5,2,4,1,4,2,4,5,3,3,3,5,3,4,2,4,4,3,4,4,2,4,2,4,2,5,5,5,5
44,Female,4,2,4,1,5,1,4,1,5,1,2,4,2,3,2,2,1,1,1,2,2,4,1,4,2,4,1,3,2,4,4,1,4,1,3,1,5,1,4,4,4,1,4,1,5,1,4,1,5,5
28,Female,5,1,5,2,5,1,4,2,5,2,3,5,4,2,4,4,3,2,4,3,1,5,4,5,1,5,1,5,5,5,3,5,3,3,1,4,3,3,4,3,4,2,5,2,5,1,5,4,2,5
16,Male,2,5,2,5,2,4,2,5,2,5,5,3,5,4,2,2,1,1,2,2,2,4,1,4,2,4,3,4,2,3,4,2,5,2,2,2,4,2,4,3,5,1,5,1,4,1,5,4,4,5
20,Female,5,1,5,1,5,1,4,4,5,1,3,5,3,5,5,3,4,2,3,1,2,5,1,4,2,5,1,5,4,4,1,2,5,3,2,2,4,3,4,3,2,3,4,2,4,1,4,2,2,4
15,Male,1,3,4,3,3,4,1,4,4,1,5,5,5,3,5,5,5,4,5,3,1,3,1,4,1,5,2,3,4,4,5,3,2,3,3,4,4,2,4,4,1,5,5,1,5,1,4,4,3,5
37,Male,5,1,3,3,4,2,2,4,4,5,5,1,5,1,5,5,5,5,5,4,4,4,1,4,5,5,5,4,5,5,4,1,3,2,5,3,5,1,4,4,4,4,5,1,5,1,3,1,5,5
18,Female,4,1,5,1,4,1,4,2,4,2,5,1,5,3,2,5,4,4,5,4,3,4,4,4,2,3,3,3,4,3,3,4,3,4,3,3,4,2,5,3,4,4,2,3,4,3,4,4,3,5
29,Male,1,3,2,4,2,2,1,4,1,5,4,3,5,2,3,4,3,3,3,4,1,5,3,5,1,4,1,4,4,3,3,4,4,4,2,5,3,4,2,3,5,1,5,1,3,1,4,4,5,5
13,Female,2,5,2,5,2,5,1,5,1,5,4,1,5,2,3,5,5,5,5,4,3,5,3,3,4,2,1,3,2,1,1,5,4,3,1,5,5,4,1,4,4,1,5,1,3,1,3,3,2,3
32,Female,2,3,2,2,1,1,1,4,2,4,4,1,5,1,2,3,4,3,2,4,1,4,1,4,1,4,2,4,4,4,4,2,5,3,3,2,4,2,2,4,5,1,5,2,5,1,5,4,5,4
34,Female,4,2,5,2,5,1,5,4,4,1,1,5,1,5,1,1,1,1,1,1,1,5,1,5,1,5,1,5,5,5,5,1,5,1,5,1,5,1,5,5,4,1,5,1,4,1,5,4,5,5
22,Female,3,1,4,2,5,1,4,1,5,1,5,1,5,1,5,5,5,5,5,5,2,4,2,5,4,3,2,2,4,5,3,4,4,1,3,4,5,4,4,5,1,5,5,5,5,1,2,1,5,5
35,Male,5,1,5,2,5,1,5,2,5,2,3,3,3,3,2,2,3,3,2,2,2,5,2,4,2,4,2,4,5,4,2,4,2,3,2,4,4,3,2,4,4,1,5,1,5,1,5,2,4,5
18,Male,5,1,4,1,5,1,5,1,5,2,4,3,5,1,5,5,3,3,5,1,4,5,4,4,1,5,2,3,5,4,2,5,5,5,3,5,1,3,1,2,4,4,3,3,4,4,4,4,5,4
19,Female,3,4,4,2,4,2,5,4,1,3,4,4,3,1,2,3,3,3,2,5,1,5,2,5,1,5,1,5,5,5,4,1,5,1,4,1,4,1,4,3,5,1,5,1,3,1,5,5,5,4
18,Male,3,3,5,3,5,3,4,3,5,1,2,4,5,4,4,2,3,2,2,3,4,4,1,4,3,3,1,4,3,4,4,1,5,2,4,2,4,3,4,4,4,1,5,2,4,2,4,2,4,4
16,Male,2,3,3,3,2,3,2,2,3,4,4,2,4,3,4,4,4,4,4,3,2,4,2,4,2,4,3,4,4,3,3,3,3,2,3,4,4,3,2,3,4,4,1,4,4,3,4,4,3,3
21,Female,3,1,3,2,4,3,4,3,5,2,4,3,3,3,5,5,3,3,4,3,3,3,3,3,3,3,3,3,3,3,2,2,3,4,1,5,3,3,3,3,1,4,4,2,3,1,3,2,3,3
21,Male,1,5,1,5,1,5,1,5,2,5,2,5,5,1,2,1,2,1,1,1,3,1,1,1,3,4,5,1,2,3,4,1,5,1,3,2,5,4,4,4,4,1,5,1,4,1,4,2,5,5
30,Female,1,5,1,5,1,4,1,5,1,5,4,3,5,3,4,4,2,2,4,4,1,1,3,3,4,4,5,4,2,1,3,1,4,2,3,2,4,2,4,2,3,4,4,2,4,4,3,3,5,4
21,Female,4,1,5,1,5,1,2,3,4,2,5,3,5,3,1,5,4,4,5,2,2,5,2,5,1,5,1,3,5,4,5,1,4,2,4,1,5,3,5,4,2,1,5,1,5,1,4,2,4,4
25,Male,3,2,5,3,3,2,4,3,4,4,4,3,4,3,4,4,2,1,4,3,4,4,3,4,4,2,2,4,3,3,3,2,5,2,3,2,4,3,2,3,1,1,3,2,3,1,5,1,5,4
20,Male,2,4,2,4,1,4,2,5,1,5,4,4,4,2,2,2,2,1,2,4,1,2,1,4,3,3,2,4,4,4,4,1,5,1,4,1,4,1,2,4,4,1,2,2,2,5,5,4,4,2
25,Female,3,1,2,4,1,2,1,5,1,5,5,1,5,1,4,5,5,4,5,4,4,3,5,2,2,1,3,3,1,2,5,3,5,4,4,1,5,1,5,5,4,5,3,5,5,3,1,1,5,4
24,Female,3,1,4,2,5,1,5,3,4,4,4,2,4,2,3,4,3,3,4,2,1,5,2,5,1,4,1,5,4,4,3,1,5,1,3,1,5,1,4,4,4,3,3,3,2,2,4,2,4,1
25,Male,2,2,4,5,5,2,4,1,5,2,3,2,5,5,4,5,5,4,4,3,1,4,1,5,1,5,2,5,5,4,3,5,5,5,5,2,4,1,3,3,4,5,5,1,4,4,5,4,5,3
26,Female,2,2,4,3,4,2,4,2,3,2,2,4,4,3,3,3,4,4,4,2,4,4,2,3,3,4,2,2,4,4,3,2,4,2,3,2,3,3,2,3,3,4,4,3,3,2,3,4,4,4
18,Female,5,4,5,1,3,4,1,2,5,1,1,5,2,4,1,1,1,1,1,1,5,2,1,2,4,2,4,2,2,5,1,5,4,3,2,5,4,2,4,3,5,1,5,4,5,1,5,5,4,5
15,Female,4,2,3,2,4,1,4,3,3,3,4,3,3,2,2,3,3,2,3,2,3,3,2,3,2,3,1,4,4,4,4,1,4,2,2,3,3,1,4,3,4,2,4,1,4,1,4,4,4,4
22,Female,2,4,3,3,4,3,4,4,2,4,4,3,4,2,5,3,5,4,5,4,4,3,5,3,2,2,4,4,3,3,4,3,5,2,4,4,5,3,3,4,4,2,5,2,5,1,5,4,4,4
21,Male,1,2,3,5,5,2,1,5,1,5,5,1,5,1,5,4,5,4,5,5,1,5,4,4,1,5,1,5,4,2,4,2,5,1,1,1,5,5,4,5,5,1,5,1,4,1,5,5,5,5
13,Female,3,1,2,2,5,1,1,4,1,3,3,2,3,1,2,2,2,3,3,3,1,4,2,5,1,5,1,4,5,3,3,2,5,1,3,1,4,2,3,4,5,1,4,2,3,1,3,5,5,5
16,Male,3,3,3,4,3,2,3,5,5,4,4,2,2,2,1,2,3,2,3,1,2,4,5,2,4,2,2,3,4,3,3,2,4,3,2,4,5,3,3,3,3,3,5,3,3,1,4,3,5,3
25,Male,2,2,5,3,4,2,3,3,3,2,1,4,2,4,2,2,2,1,1,1,1,3,2,4,3,3,2,5,4,4,4,1,4,1,4,2,4,2,3,3,4,2,2,3,4,4,4,2,3,3
32,Male,5,3,5,3,4,2,5,4,3,4,3,3,4,4,1,1,1,1,2,2,2,5,3,4,3,4,2,4,4,4,4,3,5,2,2,1,5,2,4,4,5,1,5,1,5,1,5,5,5,5
45,Male,4,2,5,1,4,2,4,1,5,2,2,4,2,2,4,3,2,2,3,2,3,4,3,4,2,3,2,4,5,4,4,4,2,2,3,2,3,2,3,3,4,1,5,1,5,1,5,3,2,4
21,Female,2,3,3,4,2,3,2,5,2,4,4,3,4,2,2,4,5,4,5,4,3,4,3,4,3,3,3,3,3,3,2,3,4,4,1,4,3,4,2,4,4,3,4,3,3,2,3,3,5,4
54,Female,3,4,2,5,3,3,1,5,1,5,5,5,5,1,5,5,4,5,5,5,1,3,2,5,2,5,3,4,5,3,3,1,3,3,5,2,5,2,3,3,3,4,4,3,4,2,3,2,3,3
26,Female,4,1,5,2,5,2,5,3,3,2,3,4,4,5,3,4,3,3,3,2,2,5,2,4,2,5,3,4,4,4,3,4,4,2,2,3,4,2,3,3,4,2,5,2,4,1,4,4,4,4
40,Female,4,1,5,4,5,1,3,2,3,2,3,4,4,2,3,3,3,3,5,3,1,5,3,4,2,5,1,3,4,4,4,2,4,3,2,3,3,2,4,5,4,3,3,4,4,1,4,3,4,4
16,Female,2,5,1,5,1,1,1,5,1,5,5,2,5,2,4,5,4,3,2,4,1,4,1,5,1,5,1,5,5,3,4,5,5,3,2,3,3,3,3,3,4,1,5,2,2,3,5,3,5,4
27,Female,3,3,5,2,5,3,5,3,4,2,3,4,2,3,2,2,4,4,3,2,2,4,3,5,2,3,1,3,4,4,3,4,4,4,3,3,4,3,4,3,3,1,5,2,5,1,4,3,4,5
17,Female,3,2,2,3,4,2,4,2,4,3,4,2,5,1,4,5,4,4,4,5,1,4,2,4,2,4,2,4,5,4,3,4,4,4,4,3,2,3,4,4,4,2,4,1,4,2,3,4,4,4
16,Female,2,4,2,5,4,3,1,4,3,5,5,2,5,1,4,5,4,4,5,5,2,5,4,5,2,4,1,4,5,3,4,2,5,3,2,4,5,2,5,4,5,3,4,2,4,2,4,5,5,5
17,Female,2,3,4,5,1,4,1,5,4,5,2,4,1,3,1,2,1,1,4,4,1,5,1,4,1,3,1,5,4,4,4,3,4,2,4,4,4,1,1,5,4,1,5,1,5,1,5,4,4,4
30,Female,2,3,3,4,2,3,1,3,2,4,4,3,4,2,3,3,2,2,4,3,5,5,1,5,1,5,1,5,5,5,4,3,5,3,4,1,4,3,5,3,3,2,5,2,3,1,3,3,5,4
16,Female,4,1,5,4,5,5,4,5,4,2,2,5,5,1,3,4,2,1,1,4,1,5,1,4,1,4,1,3,3,3,2,3,5,5,1,5,3,3,2,3,3,3,4,4,3,3,3,1,5,2
31,Female,4,2,4,3,4,2,3,3,3,3,5,1,4,2,5,5,5,5,5,4,1,4,3,5,2,5,2,3,5,5,3,3,4,3,2,1,4,2,2,4,3,2,5,3,4,1,4,3,5,4
24,Male,1,4,2,5,2,4,1,5,3,4,2,5,5,1,2,4,2,2,1,5,1,4,2,2,4,5,4,2,4,3,1,2,3,1,1,2,4,2,2,4,4,2,3,1,4,4,4,5,5,4
62,Female,4,1,4,3,5,1,4,2,5,1,4,1,4,2,1,1,4,4,2,4,5,5,3,5,1,5,1,5,5,5,3,5,4,4,4,4,4,1,1,5,5,1,4,1,5,1,5,4,5,5
15,Female,2,2,3,4,4,5,4,5,3,5,5,2,5,2,1,4,4,2,3,3,1,5,1,5,1,5,1,5,5,4,5,4,5,3,1,3,4,3,4,4,4,1,5,3,5,1,3,3,4,4
16,Female,2,2,2,2,4,1,1,4,1,4,3,3,4,3,3,4,5,4,4,3,2,4,4,4,2,5,4,4,3,4,3,4,4,2,4,5,5,3,4,4,3,3,3,3,4,4,4,3,3,4
35,Female,2,3,4,4,3,2,2,2,5,5,4,3,5,2,2,3,4,4,4,3,1,4,1,5,1,4,2,4,5,4,5,2,5,1,4,2,4,1,4,5,2,3,3,3,4,3,5,2,2,3
18,Female,4,2,4,2,5,1,5,2,4,2,2,2,4,3,2,2,4,4,2,2,2,5,4,2,1,3,2,5,3,4,4,4,5,4,2,4,3,2,2,5,5,1,4,1,5,2,5,5,5,5
18,Female,2,5,4,5,2,3,1,5,1,5,3,3,5,2,2,5,5,5,3,4,1,4,1,5,1,5,4,5,5,3,3,4,4,4,4,3,2,4,3,2,3,4,5,4,3,5,4,3,5,5
