year,id,age,sex,race,degree,educ,region,marital,childs,wrkstat,hrs1,income_2000dollars,class,party,political_views,pres20,gunlaw,cappun,cannabis_legal,happy,health,life,trust,satfin,mental_health_bad_days,relig,attend,god,postlife,bible
2022,252,60,female,white,less than high school,7,west,separated,5,keeping house,,,working class,strong democrat,conservative,biden,,oppose,should not be legal,pretty happy,good,,can't be too careful,more or less satisfied,,catholic,2-3 times a month,no doubts,no,inspired word
2022,253,66,female,white,associate/junior college,16,west,married,0,retired,,,working class,strong democrat,liberal,biden,favor,favor,,very happy,good,routine,,pretty well satisfied,,catholic,about once a month,,yes,word of god
2022,254,23,male,white,high school,12,west,never married,0,working full time,43,17407.5,lower class,not very strong democrat,"moderate, middle of the road",other candidate,oppose,favor,,pretty happy,good,routine,,not satisfied at all,5,catholic,never,believe with doubts,,
2022,255,64,female,other,less than high school,6,west,married,6,keeping house,,,working class,strong democrat,conservative,biden,favor,oppose,,not too happy,good,routine,,more or less satisfied,,catholic,nearly every week,believe with doubts,,
2022,256,32,male,other,associate/junior college,14,west,married,2,working full time,40,11868.75,middle class,not very strong republican,"moderate, middle of the road",,oppose,favor,,very happy,good,exciting,,more or less satisfied,0,catholic,about once a month,,,
2022,257,26,female,other,high school,15,west,never married,0,in school,,,working class,"independent, close to democrat","moderate, middle of the road",biden,favor,oppose,should be legal,very happy,excellent,routine,can't be too careful,not satisfied at all,,protestant,never,no doubts,yes,inspired word
2022,258,59,female,white,high school,12,west,divorced,1,working full time,40,23737.5,working class,strong republican,"moderate, middle of the road",trump,favor,favor,,pretty happy,good,routine,,more or less satisfied,0,none,less than once a year,,,
2022,259,81,female,black,bachelor's,18,west,widowed,2,retired,,,working class,strong democrat,liberal,biden,favor,oppose,should be legal,very happy,excellent,exciting,can't be too careful,pretty well satisfied,,none,never,"don't know, no way to find out",no,ancient book
2022,260,36,male,white,bachelor's,17,west,never married,0,working full time,40,28485,working class,strong republican,conservative,trump,favor,favor,,pretty happy,excellent,exciting,,more or less satisfied,0,protestant,2-3 times a month,no doubts,,
2022,261,29,female,other,high school,13,west,married,1,keeping house,,,lower class,strong republican,slightly liberal,,favor,don't know,should be legal,very happy,excellent,exciting,most people can be trusted,more or less satisfied,,hinduism,never,believe sometimes,yes,inspired word
2022,262,57,female,white,less than high school,11,west,divorced,2,keeping house,,,lower class,not very strong republican,,trump,favor,favor,don't know,very happy,fair,routine,can't be too careful,more or less satisfied,,protestant,never,no doubts,yes,word of god
2022,263,50,male,other,less than high school,13,west,married,3,working full time,0,,working class,"independent (neither, no response)",don't know,,oppose,oppose,,pretty happy,excellent,exciting,,more or less satisfied,0,none,never,,yes,word of god
2022,264,38,female,white,graduate,20,west,never married,0,working full time,28,52222.5,working class,strong democrat,liberal,biden,oppose,favor,,pretty happy,good,exciting,,not satisfied at all,14,none,less than once a year,,don't know,inspired word
2022,265,29,female,black,bachelor's,17,west,never married,0,working full time,40,75960,working class,not very strong democrat,"moderate, middle of the road",biden,oppose,oppose,,pretty happy,fair,exciting,,not satisfied at all,0,protestant,nearly every week,,,
2022,266,,male,other,high school,12,west,married,2,working part time,25,4114.5,working class,"independent (neither, no response)","moderate, middle of the road",,favor,oppose,,pretty happy,good,routine,,not satisfied at all,0,,every week,,yes,don't know
2022,267,37,female,white,graduate,20,west,married,0,working full time,22,28485,middle class,strong democrat,liberal,biden,,oppose,,very happy,excellent,,,pretty well satisfied,0,jewish,never,higher power,,
2022,268,30,female,white,graduate,16,west,never married,0,working full time,60,52222.5,middle class,strong democrat,liberal,biden,favor,oppose,,not too happy,fair,routine,,not satisfied at all,20,protestant,several times a year,,,
2022,269,19,male,other,high school,13,west,never married,0,in school,,,middle class,,,,favor,oppose,,pretty happy,excellent,routine,,pretty well satisfied,,jewish,several times a year,,yes,other (vol)
2022,270,52,male,white,graduate,16,west,married,2,working full time,55,34815,upper class,strong democrat,extremely liberal,biden,favor,oppose,,pretty happy,excellent,exciting,,pretty well satisfied,3,none,never,,,
2022,271,69,male,white,graduate,19,west,never married,0,working part time,10,34815,upper class,not very strong democrat,slightly conservative,biden,,oppose,,pretty happy,excellent,,,more or less satisfied,1,jewish,nearly every week,don't believe,,
2022,272,66,female,white,graduate,20,west,divorced,1,working part time,15,163572.71343,middle class,not very strong democrat,liberal,biden,favor,favor,,pretty happy,good,routine,,pretty well satisfied,0,jewish,less than once a year,,,
2022,273,45,female,white,graduate,18,west,married,2,working full time,40,75960,upper class,strong democrat,liberal,biden,favor,oppose,,pretty happy,excellent,routine,,pretty well satisfied,0,none,never,,don't know,ancient book
2022,274,33,male,white,high school,13,west,never married,0,working full time,40,5697,working class,other party,extremely liberal,biden,,oppose,,pretty happy,good,,,not satisfied at all,4,none,never,don't believe,,
2022,275,55,male,black,graduate,20,west,divorced,4,working part time,20,101280,middle class,"independent (neither, no response)","moderate, middle of the road",biden,,oppose,should be legal,very happy,excellent,,can't be too careful,more or less satisfied,0,none,several times a year,no doubts,yes,ancient book
2022,276,46,female,white,less than high school,9,west,separated,3,working full time,55,,working class,"independent (neither, no response)",extremely conservative,,,oppose,should not be legal,not too happy,fair,,can't be too careful,not satisfied at all,30,none,never,no doubts,don't know,word of god
2022,277,57,male,white,graduate,16,west,married,3,working full time,50,163572.71343,upper class,strong republican,slightly conservative,biden,favor,favor,,not too happy,excellent,exciting,,pretty well satisfied,0,protestant,nearly every week,no doubts,,
2022,278,42,male,black,high school,14,west,never married,1,other,,,lower class,strong democrat,liberal,biden,,oppose,,not too happy,poor,,,not satisfied at all,,none,several times a week,higher power,,
2022,279,58,male,other,high school,14,west,never married,0,"unemployed, laid off, looking for work",,,working class,strong democrat,"moderate, middle of the road",biden,favor,favor,should be legal,not too happy,good,exciting,can't be too careful,more or less satisfied,,none,never,believe with doubts,don't know,ancient book
2022,280,37,female,other,graduate,19,west,divorced,0,working full time,50,63300,middle class,"independent (neither, no response)","moderate, middle of the road",,favor,favor,,pretty happy,good,routine,,more or less satisfied,0,catholic,never,believe sometimes,,
2022,281,68,female,white,associate/junior college,14,west,married,3,retired,,,middle class,"independent (neither, no response)",slightly liberal,,favor,oppose,,pretty happy,good,routine,,more or less satisfied,,protestant,nearly every week,,,
2022,282,68,female,other,associate/junior college,15,west,divorced,2,"unemployed, laid off, looking for work",,,working class,"independent, close to democrat","moderate, middle of the road",biden,,oppose,should be legal,pretty happy,fair,,can't be too careful,not satisfied at all,,protestant,2-3 times a month,no doubts,yes,inspired word
2022,283,35,female,other,less than high school,12,west,separated,3,keeping house,,,working class,"independent (neither, no response)",slightly liberal,,favor,favor,,not too happy,fair,routine,,more or less satisfied,,catholic,less than once a year,believe sometimes,,
2022,284,41,female,other,associate/junior college,15,west,married,1,keeping house,,,middle class,not very strong democrat,slightly liberal,biden,favor,,should be legal,pretty happy,good,exciting,most people can be trusted,more or less satisfied,,catholic,never,higher power,yes,ancient book
2022,285,28,male,white,associate/junior college,14,west,never married,0,working full time,50,28485,lower class,not very strong democrat,slightly liberal,other candidate,oppose,favor,,pretty happy,good,routine,,not satisfied at all,1,none,never,,yes,ancient book
2022,286,53,female,white,bachelor's,16,west,married,0,working full time,40,42727.5,working class,strong democrat,slightly liberal,biden,favor,favor,,pretty happy,poor,routine,,not satisfied at all,12,catholic,nearly every week,no doubts,,
2022,287,63,female,white,high school,12,west,divorced,2,working full time,38,52222.5,working class,not very strong republican,conservative,trump,oppose,favor,,pretty happy,excellent,routine,,more or less satisfied,2,protestant,about once or twice a year,no doubts,,
2022,288,71,female,white,graduate,18,west,divorced,1,retired,,,middle class,strong democrat,liberal,biden,,favor,,pretty happy,good,,,pretty well satisfied,,protestant,less than once a year,no doubts,,
2022,289,56,female,white,high school,12,west,divorced,3,working full time,80,10286.25,working class,"independent (neither, no response)",conservative,,favor,oppose,should be legal,pretty happy,good,routine,most people can be trusted,more or less satisfied,0,protestant,several times a week,no doubts,yes,word of god
2022,290,44,female,white,less than high school,14,west,married,3,working part time,,2848.5,middle class,not very strong republican,conservative,trump,favor,favor,,pretty happy,good,routine,,more or less satisfied,,protestant,every week,,yes,inspired word
2022,291,26,female,white,high school,12,west,never married,0,"unemployed, laid off, looking for work",,2848.5,middle class,not very strong republican,conservative,trump,,favor,should be legal,not too happy,fair,,can't be too careful,more or less satisfied,,protestant,about once or twice a year,believe with doubts,yes,inspired word
2022,292,67,female,white,graduate,20,west,married,3,working full time,45,88620,middle class,"independent (neither, no response)","moderate, middle of the road",biden,favor,oppose,should be legal,very happy,good,routine,can't be too careful,pretty well satisfied,0,protestant,about once or twice a year,higher power,yes,inspired word
2022,293,49,male,white,less than high school,8,west,never married,0,retired,,13451.25,middle class,not very strong republican,slightly conservative,trump,,favor,should not be legal,pretty happy,good,,can't be too careful,more or less satisfied,,don't know,about once or twice a year,"don't know, no way to find out",don't know,ancient book
2022,294,32,male,other,bachelor's,16,west,married,0,working full time,40,,upper class,not very strong democrat,slightly liberal,biden,favor,oppose,should be legal,very happy,good,exciting,most people can be trusted,more or less satisfied,2,muslim/islam,every week,believe with doubts,yes,inspired word
2022,295,39,female,other,high school,12,west,married,0,working full time,40,63300,middle class,"independent, close to republican","moderate, middle of the road",trump,,favor,,pretty happy,good,,,not satisfied at all,0,christian,never,believe with doubts,,
2022,296,61,female,white,high school,12,west,married,1,keeping house,,,working class,not very strong democrat,slightly conservative,,,favor,,pretty happy,good,,,more or less satisfied,,orthodox-christian,about once or twice a year,believe with doubts,,
2022,297,55,female,other,bachelor's,17,west,divorced,0,working full time,40,75960,middle class,other party,"moderate, middle of the road",biden,favor,favor,should be legal,pretty happy,good,routine,can't be too careful,more or less satisfied,0,catholic,never,higher power,yes,inspired word
2022,298,65,male,white,bachelor's,16,west,never married,0,retired,,,middle class,not very strong republican,slightly conservative,trump,,favor,should be legal,not too happy,good,,can't be too careful,pretty well satisfied,,none,never,higher power,yes,ancient book
2022,299,61,,white,high school,11,west,divorced,2,working part time,32,,working class,"independent, close to democrat","moderate, middle of the road",biden,favor,favor,,not too happy,fair,exciting,,not satisfied at all,,protestant,about once or twice a year,,,
2022,300,28,female,white,high school,12,west,never married,0,working part time,18,8703.75,working class,"independent, close to democrat","moderate, middle of the road",biden,favor,favor,,pretty happy,fair,routine,,not satisfied at all,12,other,every week,,yes,inspired word
2022,301,60,female,white,bachelor's,16,west,divorced,4,keeping house,,,middle class,strong republican,slightly conservative,trump,oppose,favor,,pretty happy,excellent,exciting,,pretty well satisfied,,catholic,less than once a year,believe with doubts,,
2022,302,63,male,other,associate/junior college,15,west,divorced,4,retired,,,middle class,strong democrat,slightly liberal,biden,,favor,should not be legal,very happy,excellent,,can't be too careful,pretty well satisfied,,catholic,several times a year,believe with doubts,yes,inspired word
2022,303,78,female,white,associate/junior college,17,west,separated,1,retired,,,lower class,strong republican,conservative,trump,,oppose,should be legal,very happy,good,,depends,more or less satisfied,,catholic,every week,no doubts,yes,other (vol)
2022,304,23,male,white,high school,12,west,never married,0,"unemployed, laid off, looking for work",,23737.5,lower class,"independent (neither, no response)","moderate, middle of the road",,favor,oppose,,not too happy,good,exciting,,not satisfied at all,,catholic,,,yes,inspired word
2022,305,60,female,white,high school,13,west,married,1,retired,,,middle class,not very strong republican,"moderate, middle of the road",trump,favor,favor,,pretty happy,good,routine,,more or less satisfied,,none,never,believe with doubts,,
2022,306,26,female,white,high school,12,west,married,0,working part time,25,11868.75,working class,not very strong democrat,slightly liberal,biden,,oppose,,not too happy,good,,,not satisfied at all,30,none,never,higher power,,
2022,307,54,male,other,less than high school,6,west,married,5,working full time,48,,working class,"independent (neither, no response)",liberal,biden,favor,don't know,,pretty happy,good,routine,,more or less satisfied,0,catholic,every week,,yes,word of god
2022,308,83,female,white,high school,12,west,widowed,2,retired,,,working class,strong democrat,extremely liberal,biden,favor,oppose,should be legal,not too happy,excellent,routine,most people can be trusted,more or less satisfied,,protestant,never,no doubts,yes,inspired word
2022,309,65,male,white,bachelor's,16,west,married,3,retired,,,working class,"independent, close to republican",conservative,trump,oppose,favor,,not too happy,poor,routine,,not satisfied at all,,protestant,every week,,,
2022,310,39,male,white,less than high school,12,west,married,1,working full time,44,17407.5,middle class,"independent (neither, no response)","moderate, middle of the road",,favor,favor,,very happy,good,exciting,,more or less satisfied,0,catholic,several times a year,believe with doubts,,
2022,311,68,female,other,high school,12,west,married,8,working part time,30,17407.5,lower class,strong democrat,slightly liberal,biden,,oppose,should be legal,pretty happy,excellent,,depends,pretty well satisfied,0,catholic,less than once a year,no doubts,yes,word of god
2022,312,66,female,black,bachelor's,17,west,never married,0,keeping house,,,working class,"independent, close to republican",conservative,,favor,favor,should not be legal,pretty happy,good,exciting,can't be too careful,more or less satisfied,,protestant,every week,no doubts,yes,word of god
2022,313,75,male,black,bachelor's,16,west,married,2,retired,,,middle class,strong democrat,liberal,biden,favor,favor,,pretty happy,good,exciting,,pretty well satisfied,,protestant,several times a year,believe sometimes,,
2022,314,36,male,other,bachelor's,16,west,never married,0,working full time,40,63300,middle class,"independent (neither, no response)",slightly conservative,trump,oppose,favor,,very happy,excellent,exciting,,pretty well satisfied,0,none,never,higher power,,
2022,315,64,male,other,less than high school,9,west,divorced,2,retired,,,don't know,"independent, close to democrat",don't know,biden,,favor,should be legal,pretty happy,fair,,depends,not satisfied at all,,none,never,higher power,don't know,other (vol)
2022,316,89,male,white,less than high school,11,west,widowed,8,retired,,,middle class,not very strong democrat,slightly liberal,biden,favor,favor,,not too happy,excellent,routine,,more or less satisfied,,catholic,less than once a year,,,
2022,317,,male,white,high school,12,west,separated,,working full time,40,42727.5,working class,strong republican,conservative,trump,oppose,favor,,pretty happy,good,routine,,not satisfied at all,2,catholic,never,,yes,word of god
2022,318,73,male,white,bachelor's,16,west,divorced,0,retired,,,middle class,not very strong democrat,"moderate, middle of the road",biden,favor,favor,,not too happy,fair,routine,,more or less satisfied,,none,never,,,
2022,319,56,male,black,high school,12,west,never married,5,working full time,50,42727.5,middle class,"independent, close to republican",slightly conservative,,,favor,should not be legal,pretty happy,good,,most people can be trusted,not satisfied at all,0,protestant,every week,no doubts,yes,inspired word
2022,320,33,male,,bachelor's,16,west,married,1,working full time,40,,middle class,"independent (neither, no response)",extremely liberal,,favor,don't know,,very happy,excellent,exciting,,more or less satisfied,0,catholic,about once or twice a year,,yes,inspired word
2022,321,23,male,other,bachelor's,16,west,never married,0,working part time,30,20572.5,lower class,not very strong democrat,liberal,,favor,favor,,pretty happy,good,routine,,more or less satisfied,15,catholic,about once or twice a year,,yes,inspired word
2022,322,54,male,white,high school,14,west,never married,0,working part time,0,,middle class,not very strong republican,"moderate, middle of the road",,oppose,don't know,don't know,pretty happy,fair,exciting,can't be too careful,more or less satisfied,2,protestant,2-3 times a month,believe with doubts,yes,word of god
2022,323,22,female,black,high school,12,west,never married,0,keeping house,,,working class,"independent (neither, no response)","moderate, middle of the road",biden,favor,oppose,,not too happy,good,exciting,,not satisfied at all,,none,several times a year,no doubts,,
2022,324,22,male,white,high school,12,west,never married,0,working full time,60,28485,middle class,"independent (neither, no response)","moderate, middle of the road",,oppose,favor,,very happy,fair,exciting,,more or less satisfied,,none,less than once a year,,yes,inspired word
2022,325,30,female,other,high school,12,west,married,2,working full time,60,42727.5,working class,"independent (neither, no response)","moderate, middle of the road",,favor,favor,,pretty happy,good,routine,,not satisfied at all,,catholic,never,believe sometimes,,
2022,326,52,female,white,graduate,18,west,divorced,1,working full time,50,63300,working class,"independent, close to democrat","moderate, middle of the road",biden,favor,favor,,pretty happy,good,routine,,not satisfied at all,15,none,never,,,
2022,327,,,white,less than high school,11,west,separated,2,keeping house,,,working class,"independent (neither, no response)","moderate, middle of the road",,,oppose,,very happy,good,,,not satisfied at all,,none,never,believe with doubts,,
2022,328,47,female,black,associate/junior college,16,west,married,0,"with a job, but not at work because of temporary illness, vacation, strike",,42727.5,middle class,strong democrat,liberal,biden,,oppose,,pretty happy,good,,,more or less satisfied,0,protestant,every week,no doubts,,
2022,329,54,female,other,associate/junior college,14,west,divorced,2,working full time,72,34815,working class,not very strong republican,slightly conservative,,favor,favor,should be legal,not too happy,good,routine,can't be too careful,more or less satisfied,0,catholic,about once or twice a year,believe sometimes,yes,ancient book
2022,330,33,male,other,associate/junior college,16,west,never married,0,working full time,40,42727.5,working class,not very strong democrat,liberal,biden,,oppose,,not too happy,good,,,not satisfied at all,10,catholic,never,no doubts,,
2022,331,20,male,other,high school,12,west,married,1,"with a job, but not at work because of temporary illness, vacation, strike",,1266,working class,strong democrat,liberal,,favor,favor,,pretty happy,fair,exciting,,not satisfied at all,15,none,never,,don't know,inspired word
2022,332,48,female,other,less than high school,6,west,never married,0,keeping house,,10286.25,working class,"independent, close to republican",liberal,,,oppose,should be legal,not too happy,fair,,can't be too careful,more or less satisfied,,catholic,about once or twice a year,no doubts,no,ancient book
2022,333,,male,white,bachelor's,16,west,married,5,working full time,45,,middle class,"independent (neither, no response)",slightly conservative,don't know,oppose,favor,,pretty happy,excellent,exciting,,more or less satisfied,0,catholic,less than once a year,,,
2022,334,35,female,other,less than high school,11,west,married,0,working full time,40,7121.25,middle class,"independent (neither, no response)","moderate, middle of the road",,,favor,should be legal,pretty happy,fair,,can't be too careful,not satisfied at all,7,catholic,less than once a year,believe with doubts,yes,inspired word
2022,335,,female,white,high school,15,west,married,2,"with a job, but not at work because of temporary illness, vacation, strike",,,working class,,"moderate, middle of the road",trump,favor,,,pretty happy,good,routine,,more or less satisfied,0,,several times a week,,yes,word of god
2022,336,39,female,white,high school,12,west,married,1,keeping house,,17407.5,working class,strong democrat,extremely liberal,biden,,oppose,,very happy,good,,,more or less satisfied,,catholic,less than once a year,no doubts,,
2022,337,39,male,white,graduate,16,west,married,3,working full time,40,42727.5,working class,"independent, close to democrat",liberal,biden,favor,oppose,,pretty happy,good,routine,,more or less satisfied,5,protestant,every week,believe with doubts,,
2022,338,31,male,other,high school,12,west,never married,2,working full time,40,42727.5,middle class,"independent (neither, no response)",slightly conservative,biden,oppose,favor,,very happy,good,routine,,pretty well satisfied,0,catholic,about once or twice a year,no doubts,,
2022,339,37,female,other,less than high school,10,west,married,3,keeping house,,,middle class,"independent (neither, no response)",slightly liberal,trump,,oppose,should not be legal,pretty happy,good,,can't be too careful,not satisfied at all,,catholic,2-3 times a month,no doubts,yes,inspired word
2022,340,30,female,other,high school,16,west,married,1,working full time,32,10286.25,lower class,"independent (neither, no response)",extremely conservative,,,favor,,pretty happy,poor,,,not satisfied at all,15,catholic,never,believe with doubts,,
2022,341,24,female,white,bachelor's,17,west,never married,0,working full time,40,20572.5,working class,not very strong democrat,"moderate, middle of the road",biden,favor,favor,,pretty happy,good,routine,,more or less satisfied,,protestant,every week,no doubts,,
2022,342,26,male,other,associate/junior college,14,west,never married,0,working full time,40,11868.75,lower class,"independent, close to republican",slightly conservative,biden,favor,favor,,pretty happy,fair,exciting,,not satisfied at all,5,catholic,never,,yes,inspired word
2022,343,21,male,white,high school,14,west,never married,0,working part time,1,17407.5,lower class,not very strong democrat,slightly liberal,biden,,favor,,not too happy,fair,,,not satisfied at all,12,none,less than once a year,"don't know, no way to find out",,
2022,344,66,male,white,high school,13,west,married,1,retired,,,middle class,strong republican,slightly conservative,other candidate,,favor,,pretty happy,fair,,,not satisfied at all,,protestant,never,believe with doubts,,
2022,345,33,female,white,high school,14,west,divorced,4,working full time,84,5697,working class,strong democrat,extremely liberal,biden,,favor,,very happy,fair,,,more or less satisfied,0,none,less than once a year,"don't know, no way to find out",,
2022,346,67,male,white,less than high school,10,west,divorced,0,retired,,52222.5,working class,"independent (neither, no response)",slightly conservative,,oppose,favor,,not too happy,fair,exciting,,more or less satisfied,,none,never,,don't know,ancient book
2022,347,74,male,other,less than high school,6,west,divorced,8,keeping house,,28485,middle class,strong democrat,extremely conservative,biden,,oppose,should not be legal,pretty happy,good,,can't be too careful,more or less satisfied,,catholic,about once or twice a year,no doubts,yes,inspired word
2022,348,47,male,other,high school,14,west,separated,2,working full time,40,28485,working class,"independent (neither, no response)",slightly conservative,biden,,,should be legal,pretty happy,good,,can't be too careful,more or less satisfied,0,catholic,never,higher power,yes,ancient book
2022,349,24,male,white,high school,12,west,never married,0,working full time,40,17407.5,working class,not very strong democrat,"moderate, middle of the road",biden,,oppose,,pretty happy,good,,,more or less satisfied,15,none,never,don't believe,,
2022,350,57,female,other,high school,14,west,never married,3,working part time,0,11868.75,lower class,"independent (neither, no response)",liberal,,,oppose,,very happy,fair,,,more or less satisfied,25,protestant,2-3 times a month,no doubts,,
2022,351,23,male,white,high school,12,midwest,never married,0,working full time,30,,middle class,strong republican,conservative,trump,,favor,should be legal,pretty happy,good,,can't be too careful,pretty well satisfied,0,catholic,less than once a year,higher power,don't know,ancient book
2022,352,56,female,black,graduate,19,midwest,divorced,1,working full time,40,101280,upper class,strong democrat,"moderate, middle of the road",biden,favor,favor,,pretty happy,good,exciting,,more or less satisfied,4,protestant,about once a month,no doubts,,
2022,353,73,male,white,high school,13,midwest,married,5,working part time,20,7121.25,middle class,"independent, close to democrat","moderate, middle of the road",biden,favor,favor,should be legal,pretty happy,good,routine,most people can be trusted,more or less satisfied,0,catholic,less than once a year,no doubts,yes,inspired word
2022,354,63,female,white,high school,12,midwest,divorced,1,working full time,42,15033.75,working class,"independent (neither, no response)","moderate, middle of the road",,,favor,,pretty happy,good,,,not satisfied at all,10,none,several times a year,no doubts,,
2022,355,66,male,white,high school,12,midwest,married,2,working full time,60,10286.25,working class,"independent (neither, no response)","moderate, middle of the road",,favor,favor,,pretty happy,good,exciting,,more or less satisfied,0,none,never,higher power,,
2022,356,42,female,white,graduate,16,midwest,never married,0,"with a job, but not at work because of temporary illness, vacation, strike",,42727.5,middle class,strong democrat,liberal,biden,,oppose,,pretty happy,good,,,more or less satisfied,2,protestant,less than once a year,believe with doubts,,
2022,357,74,male,white,bachelor's,16,midwest,never married,0,retired,,,middle class,strong republican,conservative,other candidate,favor,oppose,should be legal,pretty happy,good,exciting,most people can be trusted,more or less satisfied,,jewish,about once a month,no doubts,don't know,inspired word
2022,358,62,female,white,graduate,16,midwest,never married,0,working full time,55,63300,middle class,strong democrat,liberal,biden,oppose,oppose,,not too happy,good,routine,,more or less satisfied,0,protestant,several times a year,,,
2022,359,57,female,white,bachelor's,18,midwest,married,2,retired,,,middle class,"independent, close to democrat",liberal,biden,favor,favor,,pretty happy,excellent,exciting,,more or less satisfied,,protestant,about once or twice a year,,,
2022,360,79,female,white,graduate,17,midwest,married,2,retired,,,upper class,not very strong democrat,liberal,biden,,,,very happy,excellent,,,pretty well satisfied,,jewish,2-3 times a month,believe sometimes,,
2022,361,39,male,white,high school,14,midwest,married,0,working full time,40,63300,middle class,strong democrat,liberal,biden,favor,oppose,,pretty happy,excellent,routine,,pretty well satisfied,20,none,never,,,
2022,362,62,female,white,graduate,18,midwest,married,2,retired,,,middle class,strong democrat,liberal,biden,,favor,,pretty happy,good,,,pretty well satisfied,,none,never,believe sometimes,,
2022,363,49,male,white,high school,12,midwest,married,3,working full time,45,,middle class,"independent (neither, no response)","moderate, middle of the road",,,favor,,very happy,good,,,more or less satisfied,0,catholic,about once a month,believe sometimes,,
2022,364,70,male,black,less than high school,10,midwest,never married,0,retired,,,middle class,strong democrat,conservative,biden,favor,favor,,pretty happy,excellent,exciting,,more or less satisfied,,protestant,never,,yes,word of god
2022,365,27,female,black,high school,12,midwest,never married,3,keeping house,,11868.75,middle class,"independent, close to democrat",slightly liberal,biden,favor,oppose,should be legal,not too happy,good,routine,can't be too careful,pretty well satisfied,,protestant,about once or twice a year,no doubts,yes,ancient book
2022,366,57,male,black,high school,12,midwest,never married,4,"unemployed, laid off, looking for work",,,lower class,"independent, close to democrat","moderate, middle of the road",biden,favor,favor,,pretty happy,good,routine,,not satisfied at all,,protestant,every week,,,
2022,367,,male,black,high school,12,midwest,never married,1,retired,,,working class,strong democrat,don't know,biden,favor,favor,should be legal,not too happy,fair,routine,can't be too careful,more or less satisfied,,protestant,several times a year,no doubts,yes,word of god
2022,368,62,male,black,bachelor's,16,midwest,divorced,3,retired,,,lower class,other party,don't know,trump,oppose,oppose,,pretty happy,fair,routine,,pretty well satisfied,,protestant,less than once a year,,yes,inspired word
2022,369,66,male,black,bachelor's,16,midwest,widowed,2,retired,,,lower class,strong democrat,liberal,biden,,favor,should be legal,not too happy,fair,,can't be too careful,not satisfied at all,,protestant,never,no doubts,yes,word of god
2022,370,54,male,black,high school,12,midwest,never married,0,"unemployed, laid off, looking for work",,,working class,not very strong democrat,extremely liberal,,favor,favor,should not be legal,pretty happy,good,routine,most people can be trusted,more or less satisfied,,none,less than once a year,no doubts,no,inspired word
2022,371,68,male,white,associate/junior college,14,midwest,never married,0,retired,,,working class,"independent (neither, no response)",conservative,,favor,favor,,not too happy,excellent,routine,,not satisfied at all,,protestant,less than once a year,,yes,inspired word
2022,372,53,male,black,bachelor's,16,midwest,never married,0,other,,,lower class,"independent, close to democrat",liberal,biden,favor,oppose,,very happy,good,exciting,,not satisfied at all,,none,about once a month,,yes,inspired word
2022,373,31,female,black,high school,14,midwest,never married,3,"unemployed, laid off, looking for work",,11868.75,lower class,"independent, close to democrat",liberal,biden,favor,favor,,pretty happy,fair,routine,,not satisfied at all,,protestant,never,no doubts,,
2022,374,45,female,black,less than high school,11,midwest,married,3,working full time,40,20572.5,working class,strong democrat,"moderate, middle of the road",biden,,oppose,,pretty happy,fair,,,not satisfied at all,10,protestant,about once a month,no doubts,,
2022,375,40,female,black,less than high school,9,midwest,never married,0,"unemployed, laid off, looking for work",,,lower class,"independent (neither, no response)",conservative,,,oppose,,not too happy,poor,,,not satisfied at all,,none,never,no doubts,,
2022,376,18,male,black,high school,12,midwest,never married,0,keeping house,,,working class,"independent (neither, no response)","moderate, middle of the road",,,favor,,not too happy,good,,,pretty well satisfied,,none,about once or twice a year,believe with doubts,,
2022,377,70,male,other,bachelor's,16,midwest,divorced,3,working part time,20,63300,middle class,"independent, close to republican",conservative,biden,favor,favor,,pretty happy,good,exciting,,more or less satisfied,0,catholic,several times a year,believe with doubts,,
2022,378,33,female,other,high school,12,midwest,never married,4,working full time,40,13451.25,middle class,"independent (neither, no response)",extremely conservative,,favor,oppose,,pretty happy,good,exciting,,not satisfied at all,0,none,several times a year,,no,inspired word
2022,379,66,male,white,graduate,18,midwest,married,2,working full time,40,75960,middle class,strong republican,conservative,trump,oppose,favor,should not be legal,pretty happy,fair,exciting,can't be too careful,pretty well satisfied,3,catholic,several times a year,believe with doubts,yes,inspired word
2022,380,68,don't know,black,high school,12,midwest,widowed,8,retired,,,working class,"independent (neither, no response)",extremely conservative,,oppose,oppose,,very happy,excellent,dull,,pretty well satisfied,,other,every week,,,
2022,381,45,male,white,graduate,18,midwest,married,0,"unemployed, laid off, looking for work",,75960,upper class,not very strong democrat,slightly liberal,biden,favor,favor,,very happy,excellent,exciting,,pretty well satisfied,,protestant,less than once a year,,,
2022,382,68,female,white,bachelor's,16,midwest,married,4,keeping house,,,middle class,not very strong democrat,slightly conservative,biden,favor,oppose,should be legal,very happy,good,routine,can't be too careful,more or less satisfied,,catholic,several times a year,believe with doubts,yes,inspired word
2022,383,59,female,white,bachelor's,16,midwest,married,4,working part time,16,20572.5,working class,"independent, close to democrat","moderate, middle of the road",,,favor,,very happy,excellent,,,pretty well satisfied,0,catholic,about once a month,no doubts,,
2022,384,70,female,white,graduate,17,midwest,married,3,retired,,8703.75,middle class,not very strong democrat,liberal,biden,favor,oppose,,pretty happy,excellent,exciting,,pretty well satisfied,,catholic,every week,,,
2022,385,75,male,white,high school,12,midwest,divorced,3,retired,,,upper class,"independent, close to republican",slightly conservative,biden,favor,favor,,not too happy,good,routine,,more or less satisfied,,catholic,several times a year,believe with doubts,,
